"stars","name","available","bedType","currency","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","features/30","features/31","features/32","features/33","features/34","features/35","features/36","features/37","features/38","features/39","features/40","features/41","features/42","features/43","features/45","features/46","persons","price","roomType","features/44","features/47","features/48","features/49","features/50","features/51","features/52","features/53","features/55","features/54","features/56"
"5","ME Barcelona","true","Choose your bed (if available) 1 extra-large double bed 2 single beds","US$","Room","323 feet²","Garden view","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","Air purifiers","1","523","Standard ME Room with Patio View","Carbon monoxide detector","More",,,,,,,,,
"5","ME Barcelona","true","Choose your bed (if available) 1 extra-large double bed 2 single beds","US$","Room","323 feet²","Garden view","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","Air purifiers","1","616","Standard ME Room with Patio View","Carbon monoxide detector","More",,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","726","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","774","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","855","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","910","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","1","749","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","474 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","1","883","Extra ME Junior Suite City View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds and 1 large double bed","US$","Private suite","474 feet²","Landmark view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","941","Studio ME + Suite Plaza Cataluña View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds and 1 large double bed","US$","Private suite","474 feet²","Landmark view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","2","1.106","Studio ME + Suite Plaza Cataluña View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds and 1 large double bed","US$","Private suite","474 feet²","Landmark view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","1","916","Studio ME + Suite Plaza Cataluña View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds and 1 large double bed","US$","Private suite","474 feet²","Landmark view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","More","1","1.079","Studio ME + Suite Plaza Cataluña View","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","517 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Air purifiers","Carbon monoxide detector","More","2","1.026","Studio ME+ Suite","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","517 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Air purifiers","Carbon monoxide detector","More","2","1.207","Studio ME+ Suite","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","517 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Air purifiers","Carbon monoxide detector","More","1","1.002","Studio ME+ Suite","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","517 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Air purifiers","Carbon monoxide detector","More","1","1.179","Studio ME+ Suite","Single-room air conditioning for guest accommodation",,,,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","893 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Air purifiers","Carbon monoxide detector","2","1.325","Beyond ME Suite ME City View","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","More",,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","893 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Air purifiers","Carbon monoxide detector","2","1.559","Beyond ME Suite ME City View","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","More",,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","893 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Air purifiers","Carbon monoxide detector","1","1.302","Beyond ME Suite ME City View","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","More",,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","893 feet²","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Air purifiers","Carbon monoxide detector","1","1.531","Beyond ME Suite ME City View","Entire unit wheelchair accessible","Single-room air conditioning for guest accommodation","More",,,,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","452 feet²","City view","Rooftop pool","Air conditioning","Spa bath","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Hot tub","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","2","2.18","Studio ME Suite Terrace with Jacuzzi and City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","452 feet²","City view","Rooftop pool","Air conditioning","Spa bath","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Hot tub","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","2","2.565","Studio ME Suite Terrace with Jacuzzi and City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","452 feet²","City view","Rooftop pool","Air conditioning","Spa bath","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Hot tub","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","1","2.157","Studio ME Suite Terrace with Jacuzzi and City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","2 single beds","US$","Private suite","452 feet²","City view","Rooftop pool","Air conditioning","Spa bath","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Hot tub","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","1","2.537","Studio ME Suite Terrace with Jacuzzi and City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","2","3.035","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","2","3.571","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","3","3.147","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","3","3.702","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","1","3.012","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","4 single beds","US$","Private suite","1378 feet²","Landmark view","City view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Terrace","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Additional bathroom","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","Seating Area","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Entire unit wheelchair accessible","1","3.543","Ultimate ME + Suite with City View","Clothes rack","Air purifiers","Single-room air conditioning for guest accommodation","Carbon monoxide detector","More",,,,,,
"5","ME Barcelona","true","Choose your bed (if available) 2 single beds and 1 extra-large double bed 4 single beds","US$","Room","646 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","4","1.047","Connected Standard ME Room","Single-room air conditioning for guest accommodation","More",,,,,,,,,
"5","ME Barcelona","true","Choose your bed (if available) 2 single beds and 1 extra-large double bed 4 single beds","US$","Room","646 feet²","Garden view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Hypoallergenic","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Pay-per-view channels","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Carbon monoxide detector","Air purifiers","4","1.141","Connected Standard ME Room","Single-room air conditioning for guest accommodation","More",,,,,,,,,
